date,sleep_hours,steps,calories,water_liters,resting_hr,workout_minutes,fitness_level
2025-10-01,7.5,9800,2200,2.5,65,45,Good
2025-10-02,6.0,5200,1900,1.2,75,20,Average
2025-10-03,8.0,12000,2500,3.0,60,60,Good
2025-10-04,5.5,4000,1800,1.0,78,15,Poor
2025-10-05,7.0,8500,2100,2.0,68,35,Average
2025-10-06,6.5,7000,2000,1.8,70,25,Average
2025-10-07,8.2,13000,2600,3.2,62,50,Good
2025-10-08,5.0,3000,1700,1.0,80,10,Poor
2025-10-09,7.8,9500,2250,2.8,66,40,Good
2025-10-10,6.0,6000,1900,1.5,72,20,Average
